id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,liveness,popularity,use_case,year,language,description
70,Retro Mountain,Ghost Echo,synthwave,passionate,0.31,101,0.64,0.47,0.73,0.67,0.26,34,yoga,2020,fr,Synthwave track perfect for yoga vibes
71,Eternal Spirit,Moon Sky,house,uplifting,0.6,128,0.87,0.61,0.34,0.18,0.34,48,meditation,2024,de,Smooth house for your meditation sessions
72,Silent Soul,Moon Dreams,reggae,passionate,0.62,93,0.79,0.76,0.5,0.71,0.24,94,gym,2024,en,Reggae track perfect for gym vibes
73,Rising Pulse,Echo Vibes,country,relaxed,0.29,61,0.5,0.59,0.41,0.12,0.31,49,productivity,2020,fr,Country track perfect for productivity vibes
74,Silent Heart,Sonic Storm,rock,energetic,0.49,82,0.56,0.67,0.22,0.37,0.35,27,focus_work,2021,es,Captivating rock that brings energetic energy
75,Eternal Whisper,Moon Storm,classical,focused,0.4,127,0.75,0.48,0.21,0.61,0.09,33,yoga,2020,es,Classical masterpiece with focused undertones
76,Dancing Dreams,Ghost Rise,rock,nostalgic,0.55,126,0.78,0.59,0.36,0.48,0.08,54,chill_vibe,2025,pt,Captivating rock that brings nostalgic energy
77,Modern Highway,Ghost Vibes,pop,chill,0.25,68,0.78,0.32,0.46,0.49,0.18,44,productivity,2025,en,Smooth pop for your productivity sessions
78,Frozen Highway,Moon Ocean,pop,playful,0.5,122,0.72,0.43,0.14,0.2,0.38,75,road_trip,2021,fr,Pop masterpiece with playful undertones
79,Rising Soul,Cosmic Vibes,classical,focused,0.43,118,0.58,0.72,0.7,0.84,0.39,25,study,2020,pt,Captivating classical that brings focused energy
80,Eternal Dreams,Golden Fire,indie rock,peaceful,0.41,71,0.78,0.4,0.78,0.31,0.06,37,meditation,2021,ja,Indie Rock track perfect for meditation vibes
81,Dancing Heart,Sonic Day,indie pop,focused,0.41,83,0.69,0.33,0.36,0.74,0.22,41,romance,2025,de,A focused indie pop piece ideal for romance
82,Golden Echo,Moon Day,reggae,focused,0.39,115,0.31,0.48,0.28,0.39,0.43,28,creative_work,2021,pt,Smooth reggae for your creative work sessions
83,Lost Nights,Thunder Heart,lofi,focused,0.67,84,0.71,0.62,0.29,0.71,0.12,79,party,2024,ja,Captivating lofi that brings focused energy
84,Golden Whisper,Moon Bloom,house,relaxed,0.42,88,0.53,0.4,0.86,0.09,0.22,57,study,2021,fr,Captivating house that brings relaxed energy
85,Analog Nights,Mystic Heart,r&b,confident,0.67,111,0.4,0.63,0.17,0.25,0.39,50,party,2022,fr,R&B masterpiece with confident undertones
86,Burning City,Ghost Soul,reggae,relaxed,0.36,85,0.54,0.44,0.84,0.22,0.2,84,dance,2021,pt,Smooth reggae for your dance sessions
87,Eternal Rhythm,Neon Vibes,ambient,energetic,0.42,111,0.43,0.74,0.53,0.58,0.39,44,productivity,2022,fr,Ambient track perfect for productivity vibes
88,Broken Nights,Velvet Soul,r&b,moody,0.65,104,0.57,0.58,0.21,0.04,0.36,33,workout,2020,fr,Captivating r&b that brings moody energy
89,Golden Highway,Wave Dreams,country,happy,0.91,126,0.78,0.93,0.51,0.14,0.19,45,gym,2020,fr,Country track perfect for gym vibes
90,Silent Nights,Neon Flow,classical,peaceful,0.2,62,0.47,0.35,0.92,0.23,0.31,69,cooking,2025,en,Classical masterpiece with peaceful undertones
91,Frozen Echo,Mystic Pulse,indie rock,intense,0.87,153,0.42,0.62,0.09,0.78,0.33,75,gym,2025,es,Captivating indie rock that brings intense energy
92,Falling Memory,Ghost Dreams,soul,chill,0.44,68,0.58,0.43,0.76,0.87,0.48,34,gym,2024,en,Soul track perfect for gym vibes
93,Digital Echo,Wave Echo,jazz,happy,0.7,132,0.92,0.77,0.21,0.31,0.32,79,dance,2021,ja,A happy jazz piece ideal for dance
94,Lost City,Twilight Glow,lofi,passionate,0.35,128,0.32,0.52,0.29,0.18,0.18,79,meditation,2021,en,Lofi track perfect for meditation vibes
95,Digital City,Sun Sky,house,energetic,0.68,87,0.58,0.38,0.21,0.84,0.22,49,meditation,2020,fr,A energetic house piece ideal for meditation
96,Lost Spirit,Neon Ocean,classical,passionate,0.32,101,0.31,0.49,0.37,0.44,0.25,67,morning_run,2021,en,Smooth classical for your morning run sessions
97,Falling Rhythm,Moon Soul,country,dreamy,0.74,111,0.79,0.39,0.52,0.04,0.1,74,romance,2020,ja,Country track perfect for romance vibes
98,Midnight Whisper,Electric Flow,pop,intense,0.81,150,0.27,0.8,0.19,0.8,0.47,49,gym,2022,fr,Captivating pop that brings intense energy
99,Burning Pulse,Mystic Night,rock,dark,0.71,97,0.43,0.42,0.17,0.66,0.13,45,yoga,2022,en,Smooth rock for your yoga sessions
100,Broken Mountain,Sonic Rise,soul,dark,0.32,118,0.32,0.75,0.73,0.52,0.39,82,yoga,2021,es,Captivating soul that brings dark energy
